球员,总分,传球,传中,盯人,罚点球,技术,角球,界外球,盘带,抢断,任意球,射门,停球,头球,远射,才华,防守站位,工作投入,集中,决断,领导力,侵略性,视野,团队合作,无球跑动,意志力,勇敢,预判,镇定,爆发力,弹跳,灵活,耐力,平衡,强壮,速度,体质,稳定,大赛,抗压
克里斯托弗·阿耶尔 - 选​择球​员,426.3825,13,8,14,11,14,6,12,12,14,7,10,13,15,8,7,13,15,14,12,15,16,13,14,11,18,15,14,14,13,16,14,14,13,14,13,15,14,14,16
亚伦·希齐 - 选​择球​员,401.7658333333334,12,13,12,8,13,11,11,14,12,9,9,12,11,13,13,13,14,12,12,8,12,13,15,12,15,15,13,12,14,11,13,13,11,11,14,13,13,12,13
耶霍尔·亚尔莫柳克 - 选​择球​员,408.6741666666667,13,12,12,9,13,10,9,13,13,9,8,13,13,8,12,14,18,14,13,8,13,13,14,13,16,15,14,14,13,11,16,16,13,12,13,15,14,13,13
埃腾·平诺克 - 选​择球​员,399.3258333333333,12,7,13,5,12,5,14,8,14,6,8,12,15,5,6,14,14,14,14,13,12,12,13,8,16,15,13,15,11,17,11,13,15,15,12,14,14,14,14
维塔利·亚内特 - 选​择球​员,407.7658333333334,14,13,12,9,13,11,13,13,14,10,12,14,13,13,9,13,16,14,13,12,16,13,15,12,16,17,14,14,12,12,15,15,14,14,12,16,15,14,14
凯温·沙德 - 选​择球​员,437.74416666666673,12,12,5,11,14,9,14,13,7,7,13,13,13,11,14,6,13,12,12,9,12,11,11,13,13,11,12,11,16,15,16,13,11,11,16,14,13,13,13
迈克尔·卡尤德 - 选​择球​员,429.4824999999999,13,13,12,6,13,5,20,13,14,6,9,12,13,7,14,13,16,12,13,7,12,12,14,12,15,13,12,12,15,12,14,15,15,13,16,16,14,12,15
安多尼·米拉姆波 - 选​择球​员,401.47416666666675,13,11,7,4,14,12,7,13,8,12,11,15,11,9,13,7,14,13,13,8,8,14,16,12,13,13,13,13,13,10,15,14,13,11,13,14,13,14,11
詹姆斯·米尔纳 - 选​择球​员,383.6241666666667,14,12,13,16,14,13,13,10,13,9,11,15,9,7,9,13,17,14,16,17,15,12,18,12,19,17,13,14,11,8,8,17,13,14,10,19,15,15,17
贾森·斯蒂尔 - 选​择球​员,360.9266666666667,16,3,3,7,13,4,3,1,1,7,2,12,1,2,3,13,14,12,14,14,9,15,15,4,14,13,11,17,12,14,10,13,10,11,12,10,12,8,13
伊戈尔 - 选​择球​员,411.10333333333335,13,11,14,7,13,6,12,11,15,6,6,13,14,9,11,14,14,12,12,8,15,12,12,8,14,15,14,14,13,14,13,15,13,16,14,15,13,10,10
马克西姆·德·凯珀 - 选​择球​员,399.52083333333326,14,14,11,13,14,13,10,11,14,8,11,13,11,12,13,11,13,12,13,11,12,14,16,13,13,15,11,14,14,12,12,13,11,10,14,13,13,13,14
丹尼·维尔贝克 - 选​择球​员,429.93666666666667,14,8,7,14,14,5,3,13,8,4,14,14,15,9,14,9,16,15,16,14,12,14,16,16,14,14,14,14,13,14,11,13,13,15,14,15,14,13,13
本·巴尔克雷 - 选​择球​员,319.65333333333336,12,7,12,4,12,5,12,8,12,5,6,9,13,6,7,12,13,11,10,9,12,8,12,8,11,13,11,10,8,13,9,11,11,13,8,12,10,12,13
刘易斯·邓克 - 选​择球​员,387.03000000000003,14,7,14,10,13,5,6,9,16,9,6,13,13,5,8,16,14,16,16,16,13,13,15,7,14,17,15,15,10,15,11,15,10,14,12,13,15,15,9
亚当·韦伯斯特 - 选​择球​员,403.90749999999997,13,6,14,7,13,5,6,13,16,5,6,13,14,7,7,14,14,13,14,15,12,13,13,8,14,14,13,14,11,15,14,14,10,13,14,13,14,15,12
索利·马尔奇 - 选​择球​员,415.1066666666666,13,15,8,10,14,13,4,15,12,13,12,14,8,14,13,13,16,14,15,8,9,12,16,13,14,11,12,13,14,10,13,15,13,10,14,12,15,15,14
托马斯·麦吉尔 - 选​择球​员,341.9725,9,2,3,3,9,3,2,2,2,8,1,8,7,3,1,9,9,11,9,8,15,8,9,3,17,13,9,11,11,12,13,14,10,9,11,13,12,6,10
马特·奥赖利 - 选​择球​员,399.5025,14,12,8,8,15,14,5,13,12,8,13,15,11,12,13,11,12,12,14,9,12,17,13,16,14,8,14,15,12,14,12,13,14,13,12,14,12,14,12
乔尔·韦尔特曼 - 选​择球​员,376.50500000000005,13,11,14,7,13,7,8,9,17,4,7,13,14,5,9,17,14,16,16,15,16,11,15,9,16,16,16,14,11,10,10,13,10,11,10,16,17,15,17
费尔迪·卡迪格鲁 - 选​择球​员,408.2458333333333,13,13,9,8,14,10,8,13,12,11,8,14,5,11,14,9,15,12,13,12,12,14,15,13,15,10,12,14,15,7,14,16,11,10,14,14,16,13,16
马茨·维弗 - 选​择球​员,410.2991666666667,13,7,12,10,13,11,7,11,16,11,6,13,13,11,10,12,16,14,14,13,14,14,16,12,15,15,14,14,13,14,14,15,12,12,13,14,13,12,15
简·保罗·范海克 - 选​择球​员,426.0383333333333,14,10,15,7,14,4,7,13,17,5,8,14,15,5,8,17,14,16,15,14,17,13,14,6,16,16,15,16,12,15,13,14,14,14,13,14,15,14,15
巴特·费尔布鲁根 - 选​择球​员,384.78499999999997,16,12,3,5,14,9,1,11,3,10,2,13,6,1,12,13,12,13,12,12,13,14,14,3,14,13,11,15,12,16,9,12,12,10,12,11,10,8,15
三笘薰 - 选​择球​员,448.77333333333337,13,11,8,9,14,9,7,18,8,8,13,19,10,14,16,7,13,15,14,6,6,14,15,15,13,13,12,14,17,10,16,15,14,7,16,15,14,15,15
奥利弗·博斯卡利 - 选​择球​员,405.9908333333333,14,13,12,4,13,10,5,10,13,15,8,14,13,12,9,14,16,14,13,14,10,14,16,13,15,15,12,14,13,12,15,16,15,12,13,13,15,13,13
乔吉尼奥·鲁特 - 选​择球​员,411.7666666666667,14,10,6,12,14,6,5,14,8,8,11,14,12,12,16,8,15,9,14,10,8,14,15,13,13,12,14,14,13,12,14,14,13,14,14,13,13,9,11
帕斯卡尔·盖 - 选​择球​员,374.6000000000001,16,17,11,14,15,17,6,12,11,16,11,15,10,14,13,12,16,16,16,16,13,16,18,13,15,13,14,16,9,10,13,17,12,11,10,18,17,15,16
雅辛·阿巴斯·阿雅里 - 选​择球​员,419.5891666666666,14,13,9,12,14,13,5,13,14,11,13,13,8,14,13,13,16,15,13,12,14,13,16,13,17,14,14,13,15,9,16,14,12,11,13,12,13,15,15
迭戈·戈麦斯 - 选​择球​员,400.2041666666667,14,9,11,13,13,13,7,12,13,14,12,13,11,14,12,12,16,13,13,9,13,13,14,13,12,14,12,13,13,12,13,13,13,14,13,13,14,11,11
杰克·辛谢尔伍德 - 选​择球​员,403.2833333333333,13,9,11,10,13,11,7,9,14,7,11,14,12,7,7,13,14,14,14,11,13,13,14,12,14,14,14,14,14,12,14,15,11,12,13,15,15,11,15
卡洛斯·巴莱巴 - 选​择球​员,426.13249999999994,14,12,13,7,14,6,5,14,15,8,9,14,10,13,14,14,14,12,13,7,14,14,13,11,12,13,14,15,14,13,16,15,13,16,15,14,11,9,12
扬库巴·明特 - 选​择球​员,440.95750000000004,12,11,6,11,13,12,7,14,11,9,14,13,7,9,13,8,17,11,10,5,13,12,13,14,14,12,14,12,17,8,16,15,13,14,17,13,13,14,6
泰勒·亚当斯 - 选​择球​员,417.4491666666667,15,10,14,5,12,5,11,11,16,5,6,13,8,8,9,17,18,13,15,13,16,12,15,12,15,15,15,12,14,10,13,17,14,14,13,17,15,15,13
詹姆斯·希尔 - 选​择球​员,401.5408333333333,12,9,13,7,13,7,16,10,13,7,7,12,13,9,8,13,14,13,14,13,11,11,14,12,13,12,13,12,14,14,13,14,13,13,13,14,11,11,11
阿德里恩·特卢费尔 - 选​择球​员,419.8408333333333,14,16,13,5,14,8,6,13,15,5,12,14,9,12,13,15,15,14,14,9,13,13,14,14,12,14,14,12,14,8,15,15,15,12,15,12,13,12,12
胡利塞萨尔·索莱尔 - 选​择球​员,411.60333333333335,10,11,12,13,13,8,8,13,10,10,9,12,6,10,8,11,14,12,12,12,10,10,12,12,15,14,12,14,15,8,16,13,13,11,15,12,12,13,12
亚历克斯·斯科特 - 选​择球​员,410.79,15,12,8,7,15,5,4,17,13,6,11,14,8,9,15,14,14,12,14,9,14,16,15,15,18,12,14,15,13,8,13,14,16,9,14,12,11,13,10
亚当·史密斯 - 选​择球​员,402.3158333333334,13,12,12,4,13,6,3,12,14,6,7,13,7,9,9,15,16,12,14,14,10,9,16,13,14,13,14,13,14,7,14,17,11,9,14,16,16,14,11
马科斯·塞内西 - 选​择球​员,412.09916666666675,15,10,16,6,15,6,6,10,15,7,8,13,15,7,11,14,15,12,15,12,10,14,15,10,13,14,14,13,14,15,9,15,14,12,12,14,13,13,13
乔尔杰·佩特罗维奇 - 选​择球​员,356.1541666666667,10,2,1,5,6,4,2,3,3,7,1,10,1,1,2,14,11,12,12,13,13,11,12,3,17,13,13,13,10,15,18,12,12,13,13,5,12,14,11
马库斯·尼埃 - 选​择球​员,407.73,12,12,10,10,16,14,6,14,8,11,10,13,6,11,14,10,15,10,11,12,10,11,16,15,12,11,14,10,15,10,14,15,13,10,14,10,12,11,11
韦杰科·米洛萨维耶维奇 - 选​择球​员,375.1075,13,6,14,10,11,5,5,9,15,8,7,11,15,10,7,13,13,14,13,11,12,9,12,8,12,13,13,12,11,16,14,12,13,13,10,12,12,12,11
克里斯托·曼达斯 - 选​择球​员,368.50166666666667,9,2,3,4,7,4,3,1,3,6,2,10,1,1,3,14,13,12,13,12,10,13,12,2,16,12,13,12,13,13,9,11,12,12,12,12,13,12,13
拉扬 - 选​择球​员,429.57,11,11,7,11,13,7,7,13,7,11,14,13,11,13,13,7,13,11,13,7,10,9,12,14,15,12,12,13,15,13,14,13,14,15,15,14,11,9,12
刘易斯·库克 - 选​择球​员,408.6358333333333,15,11,8,7,14,12,3,13,16,5,10,14,6,9,13,16,16,13,14,14,15,14,16,12,15,15,14,15,13,8,13,15,16,14,12,16,14,13,12
查士丁·克鲁维特 - 选​择球​员,435.2908333333333,13,10,3,13,17,9,2,15,6,8,14,15,7,13,16,6,13,11,13,7,16,14,12,14,15,13,12,13,17,7,16,12,12,8,16,12,12,14,13
朱尼尔·克卢皮 - 选​择球​员,417.8491666666667,12,11,7,15,16,8,5,14,7,10,15,13,11,13,14,7,14,12,14,7,9,13,13,13,13,8,13,15,15,10,16,13,13,7,14,14,13,14,14
瑞安·克里斯蒂 - 选​择球​员,407.2891666666667,14,12,7,11,15,11,1,13,13,12,10,14,5,12,13,11,18,13,13,12,15,14,15,15,12,11,15,10,13,9,16,17,13,12,13,15,15,14,10
弗雷泽·福斯特 - 选​择球​员,273.8975,9,2,3,3,7,5,3,2,7,7,1,8,1,3,2,17,12,17,11,12,7,9,6,1,14,15,12,11,2,20,9,9,13,19,2,11,15,16,13
本·多克 - 选​择球​员,414.8691666666666,13,13,7,7,14,10,3,17,6,6,11,14,5,8,15,5,14,11,12,8,15,13,12,13,18,13,11,13,16,6,13,10,14,10,14,12,11,13,12
巴弗德·迪亚基特 - 选​择球​员,411.3783333333334,14,13,15,9,12,5,13,10,14,4,12,12,15,8,13,13,13,12,12,13,12,9,13,13,15,13,14,15,13,14,13,14,14,15,13,14,13,15,13
戴维·布鲁克斯 - 选​择球​员,405.48583333333335,15,13,7,8,16,9,4,15,10,10,13,14,8,8,16,8,15,10,15,5,6,16,13,15,14,6,14,15,14,6,13,11,15,7,15,9,12,9,14
艾瓦尼尔森 - 选​择球​员,425.49916666666667,14,8,8,13,16,6,7,12,9,8,15,15,12,10,14,5,15,12,13,10,13,14,12,16,13,12,14,15,13,13,13,14,17,16,14,11,13,15,14
阿米恩·艾德利 - 选​择球​员,421.8949999999999,13,11,7,12,14,12,6,15,8,12,12,13,12,11,16,7,14,11,11,7,13,12,13,13,14,12,13,12,16,10,14,12,12,10,15,12,12,13,12
埃内斯·乌纳尔 - 选​择球​员,401.16666666666663,10,9,6,14,15,6,6,13,6,15,14,14,13,13,14,7,13,11,12,9,11,11,12,14,15,13,12,13,12,13,13,14,13,14,12,12,13,10,12
阿莱克斯·希门内斯 - 选​择球​员,417.685,12,12,9,7,13,6,6,14,12,4,8,12,6,12,10,10,14,11,10,10,16,11,13,15,15,15,14,9,17,7,15,14,13,10,14,14,13,12,13
马克西姆·埃斯特夫 - 选​择球​员,421.19499999999994,12,5,14,9,12,5,5,6,15,4,4,11,14,8,6,14,13,14,14,10,12,10,13,10,13,13,14,14,15,13,14,12,12,15,16,12,15,14,15
乔希·卡伦 - 选​择球​员,383.86583333333334,14,11,14,7,12,10,6,12,14,11,6,14,8,7,9,14,17,13,14,14,8,13,16,13,14,15,14,14,12,9,14,16,13,11,11,15,14,10,12
希尔玛·埃克达尔 - 选​择球​员,380.1574999999999,13,11,12,7,13,6,8,11,14,7,6,13,14,7,10,13,14,13,13,13,8,11,15,9,15,15,13,14,11,14,13,13,12,13,11,14,15,12,14
默罕默德·阿姆杜尼 - 选​择球​员,409.3775,12,8,5,14,15,7,4,14,6,9,12,13,12,12,14,6,10,11,13,7,6,13,11,14,8,6,13,14,12,14,15,13,14,12,13,13,10,12,14
弗洛伦迪诺·路易斯 - 选​择球​员,404.3233333333334,12,5,14,10,11,4,8,8,17,5,8,12,10,8,8,16,16,15,13,9,14,12,17,6,14,13,18,11,13,12,16,16,13,12,12,16,18,14,12
阿什利·巴恩斯 - 选​择球​员,348.21916666666664,13,9,8,15,13,6,5,8,10,9,12,14,14,11,7,12,17,14,13,15,18,13,18,15,16,18,14,12,8,14,10,13,13,15,8,16,11,15,11
麦克·特雷索 - 选​择球​员,397.145,13,15,7,14,14,13,6,14,7,14,13,13,9,11,14,12,12,13,13,9,9,13,13,13,13,15,12,13,14,9,12,13,11,12,13,12,13,13,8
莱斯利·乌戈楚库 - 选​择球​员,407.58250000000004,15,11,13,10,12,11,6,13,15,11,10,14,13,12,11,15,15,12,12,6,11,13,14,12,11,13,14,14,13,15,9,15,14,17,12,12,12,10,12
乔丹·贝耶尔 - 选​择球​员,394.9325,13,8,14,7,12,4,12,12,14,4,6,11,13,6,11,14,12,14,12,8,13,12,14,11,13,16,14,14,12,13,14,13,15,14,13,8,12,12,15
赖尔·福斯特 - 选​择球​员,414.59999999999997,11,7,6,12,13,6,5,13,6,8,14,12,12,11,13,6,14,13,12,10,11,12,14,12,13,11,14,12,14,13,13,13,13,15,13,12,12,11,12
乔·沃洛 - 选​择球​员,345.7199999999999,10,7,12,5,10,6,7,6,14,6,5,10,14,5,7,13,14,12,12,15,14,8,15,7,13,16,12,12,10,16,12,14,10,15,8,12,12,12,12
詹姆斯·沃德-普洛维斯 - 选​择球​员,355.96,13,17,9,13,15,18,6,10,13,18,12,13,7,11,11,12,19,13,12,15,13,12,17,12,17,13,13,14,10,7,9,18,12,11,9,19,12,13,12
巴希尔·汉弗莱斯 - 选​择球​员,400.3533333333333,11,9,12,5,12,6,8,11,13,6,6,11,13,6,8,13,13,13,12,9,10,10,12,9,15,13,14,12,13,14,11,14,12,13,13,13,13,11,16
贾伊顿·安东尼 - 选​择球​员,406.7783333333333,12,13,7,10,13,11,2,14,6,6,11,13,7,8,12,8,14,12,12,6,10,12,14,14,14,8,12,12,15,8,14,14,12,8,15,14,10,7,11
乔希·劳伦特 - 选​择球​员,392.59916666666663,13,11,12,6,12,9,15,12,13,8,10,13,11,10,12,13,16,14,12,13,13,12,16,13,15,14,12,13,12,13,13,12,12,13,12,18,10,13,13
基伦·瓦尔克 - 选​择球​员,422.4408333333334,13,11,14,6,13,4,12,12,14,11,7,13,13,8,10,14,14,12,12,15,13,12,15,13,16,13,14,13,14,11,12,16,13,14,16,20,15,13,11
雅各布·布鲁恩·拉森 - 选​择球​员,409.9025,11,12,8,12,13,12,8,14,8,14,11,12,11,11,12,8,13,10,12,8,8,10,15,14,13,11,12,11,15,11,13,12,12,11,15,12,12,11,10
瓦茨拉夫·哈拉德奇 - 选​择球​员,359.9883333333333,15,2,7,5,8,2,6,3,6,3,2,13,3,2,11,13,7,13,12,13,9,11,10,5,15,15,12,13,12,12,9,7,10,12,12,15,15,16,15
卢姆·查乌奈 - 选​择球​员,413.3533333333333,13,13,7,11,15,12,6,14,6,12,13,14,8,15,14,5,11,10,11,5,8,11,10,13,12,10,12,12,16,9,16,13,13,11,14,14,11,10,8
马丁纳·杜布拉夫卡 - 选​择球​员,345.97999999999996,12,1,5,3,10,1,5,1,3,2,1,11,3,2,10,15,10,10,11,13,9,12,12,3,15,14,15,12,11,15,10,10,13,12,9,14,15,14,12
奎林德西·哈特曼 - 选​择球​员,411.87833333333333,12,14,12,12,12,13,12,11,14,13,7,12,8,11,11,13,17,11,11,12,16,12,16,13,16,16,12,13,15,11,16,15,11,9,15,12,11,14,13
阿曼多·布罗亚 - 选​择球​员,430.9983333333333,8,8,5,12,13,7,7,15,8,7,14,13,12,8,13,6,13,8,11,11,14,9,12,14,12,11,13,12,15,14,16,13,15,14,15,10,10,10,11
马库斯·爱德华兹 - 选​择球​员,410.92,15,13,6,14,17,13,5,18,6,13,14,15,11,12,18,7,7,11,11,5,8,14,8,15,6,8,13,12,15,7,14,12,15,6,14,14,10,13,13
阿克塞尔·图安泽贝 - 选​择球​员,424.7008333333333,13,6,13,9,12,4,7,12,14,5,5,13,12,4,7,14,13,12,11,12,14,8,11,6,14,13,15,12,15,13,16,12,13,14,15,12,11,12,13
康纳·罗伯茨 - 选​择球​员,378.89916666666664,11,13,12,5,11,13,18,8,12,11,10,11,10,9,11,12,14,12,11,10,14,11,15,14,18,12,12,11,12,9,13,18,11,9,13,19,12,16,12
卢卡斯·皮雷斯·席尔瓦 - 选​择球​员,395.41749999999996,11,15,9,7,14,10,10,14,10,10,10,11,10,11,12,12,12,13,11,5,6,13,12,14,11,11,11,11,14,11,13,14,12,10,14,13,12,11,9
哈尼巴尔 - 选​择球​员,412.2066666666667,13,11,5,11,15,14,3,14,9,13,10,14,6,10,16,7,16,11,10,6,16,12,12,12,12,13,13,12,13,11,16,16,13,11,14,15,10,14,13
齐亚·弗莱明 - 选​择球​员,379.2608333333333,12,11,8,12,14,8,17,12,9,14,14,12,12,13,12,8,11,12,10,11,11,14,12,13,16,10,13,14,11,14,14,10,13,12,11,10,10,12,15
谢默斯·科尔曼 - 选​择球​员,392.88666666666666,12,11,12,7,12,5,12,11,15,8,12,12,14,13,11,14,15,14,14,17,15,9,15,13,18,15,14,13,12,10,12,12,14,13,12,9,14,12,14
基尔南·德斯布里-霍尔 - 选​择球​员,399.7891666666667,15,12,9,10,13,13,5,14,12,14,15,15,10,11,13,14,17,12,14,11,13,15,15,15,15,12,12,14,12,10,13,16,12,14,12,18,13,14,12
卡洛斯·阿尔卡拉兹 - 选​择球​员,407.32833333333326,15,11,12,11,15,12,9,13,11,14,13,14,9,12,14,15,14,13,14,10,14,14,15,14,14,11,13,14,13,14,11,13,13,12,13,12,12,13,8
蒂埃诺·巴里 - 选​择球​员,441.415,12,10,8,13,12,8,6,12,6,8,12,12,13,13,11,8,14,11,13,8,11,13,14,15,12,15,13,11,14,18,16,15,13,14,16,15,12,13,13
蒂姆·伊鲁格布南 - 选​择球​员,415.3241666666667,13,9,13,7,14,10,6,13,15,9,8,13,7,13,14,13,14,13,13,6,14,12,14,13,13,12,13,14,14,13,15,13,14,15,13,15,13,13,14
伊迪萨·盖耶 - 选​择球​员,399.97416666666663,11,9,14,8,13,8,9,10,18,9,6,13,11,11,8,14,16,14,13,13,14,12,17,9,16,17,15,13,13,8,12,16,12,13,13,15,13,14,13
贝托 - 选​择球​员,448.57500000000005,12,7,6,11,11,5,6,13,6,6,12,11,13,11,11,8,16,13,13,8,15,10,13,15,16,12,12,14,15,17,16,13,10,17,16,14,12,10,13
詹姆斯·加纳 - 选​择球​员,407.14666666666665,15,14,10,12,16,14,2,10,16,12,11,14,8,13,9,15,17,14,13,11,12,14,16,15,16,12,13,14,12,12,12,17,13,13,13,16,16,17,12
德怀特·麦克内尔 - 选​择球​员,390.35083333333336,14,14,10,9,15,13,6,13,12,9,12,14,7,14,14,10,13,12,13,6,8,13,15,14,16,14,13,13,12,11,13,14,10,10,13,16,14,13,12
杰克·吉尔利什 - 选​择球​员,411.5625,14,14,6,12,14,13,3,17,9,10,9,15,11,10,16,10,15,12,13,12,9,14,13,13,14,15,13,14,14,7,15,14,14,13,12,15,12,14,16
约旦·皮克福德 - 选​择球​员,328.17249999999996,13,2,1,1,14,3,3,3,1,7,2,11,8,3,1,15,11,15,13,16,16,15,10,2,14,16,15,10,8,14,11,13,12,14,8,15,16,13,15
泰勒·迪布林 - 选​择球​员,419.35333333333335,14,13,7,7,15,13,9,17,7,9,10,15,7,13,15,9,10,11,12,7,7,14,10,13,12,10,11,14,14,10,15,12,16,14,15,11,11,11,10
维塔利·米科伦科 - 选​择球​员,422.85333333333335,13,13,14,4,11,8,11,10,14,5,9,12,13,9,7,13,16,11,12,8,12,11,13,13,16,15,14,13,15,13,15,15,11,13,15,14,13,15,16
杰克·奥布莱恩 - 选​择球​员,437.32083333333327,11,10,14,4,11,4,15,9,15,6,8,13,16,4,3,14,14,13,12,15,14,7,12,11,14,15,12,13,14,18,14,14,14,15,16,10,15,12,13
马克·特拉弗斯 - 选​择球​员,345.7325,10,2,1,3,10,5,1,3,3,9,1,9,2,1,6,14,12,13,12,8,8,12,11,3,12,12,14,10,11,13,13,15,10,11,11,14,13,12,13
贾拉德·布兰斯维特 - 选​择球​员,432.9758333333333,12,6,12,6,14,3,9,12,14,7,7,12,16,5,13,14,14,14,12,11,14,14,13,11,13,17,14,15,14,18,14,13,13,15,14,13,16,14,13
詹姆斯·塔尔科夫斯基 - 选​择球​员,406.64083333333343,12,6,14,10,12,3,7,10,16,4,8,13,17,6,10,14,15,15,12,17,17,10,16,8,13,17,15,13,12,14,11,13,13,15,12,14,16,12,13
迈克尔·基恩 - 选​择球​员,386.18583333333333,13,8,14,5,15,5,12,8,16,5,9,12,17,6,5,15,13,14,12,12,11,10,15,10,17,15,15,11,10,15,13,13,12,15,12,14,10,12,12
哈里森·阿姆斯特朗 - 选​择球​员,408.89750000000004,12,11,9,9,14,6,7,12,11,7,8,13,10,7,12,13,14,12,11,11,12,13,12,10,14,14,12,13,13,14,10,14,13,14,14,15,13,12,14
梅林·洛赫尔 - 选​择球​员,412.63,13,10,10,10,15,6,7,15,12,6,8,14,12,10,15,10,15,12,11,11,13,12,15,12,15,12,12,11,13,14,15,15,12,11,15,10,12,13,10
亚当·阿兹努 - 选​择球​员,403.6558333333334,12,14,9,11,16,12,10,15,11,11,7,14,6,10,16,9,15,9,10,10,13,11,12,11,13,12,12,10,15,8,14,13,14,7,14,13,13,13,8
伊利曼·恩迪亚耶 - 选​择球​员,423.64833333333337,12,12,5,10,17,8,5,19,10,9,15,16,12,12,17,10,15,13,10,9,6,13,12,13,15,11,11,13,14,8,16,12,14,14,14,12,15,12,13
纳森·帕特森 - 选​择球​员,408.6408333333333,11,14,10,5,11,12,10,9,13,6,8,11,8,11,7,11,14,12,7,4,12,11,13,13,14,12,11,12,15,11,13,17,11,12,15,14,11,13,13
汤姆·金 - 选​择球​员,280.14916666666664,4,1,3,2,6,2,3,2,4,3,2,6,2,2,2,6,12,6,6,9,6,7,11,1,12,11,7,7,7,14,18,11,14,15,6,8,7,10,5
格雷戈尔·克贝尔 - 选​择球​员,404.0491666666666,11,2,1,3,10,4,10,7,6,6,5,9,7,6,8,17,17,14,15,16,16,11,13,6,18,16,16,13,10,18,9,12,13,17,12,12,18,17,14
尼科·施洛特贝克 - 选​择球​员,442.1825,16,12,14,13,14,14,14,12,17,13,7,13,14,13,12,15,18,13,14,16,16,16,16,10,18,17,15,16,13,16,12,13,16,16,14,15,17,15,14
塞罗·吉拉西 - 选​择球​员,442.0574999999999,14,8,7,12,15,6,6,13,8,13,17,15,16,13,13,8,12,14,14,14,13,14,15,16,16,15,17,16,13,16,15,13,16,16,13,12,15,15,12
瓦德玛尔·安东 - 选​择球​员,431.0241666666667,14,8,15,7,12,4,12,12,15,6,6,12,14,8,8,15,17,13,13,16,16,13,16,10,17,17,15,14,12,16,14,15,15,15,14,15,16,13,14
朱利安·布兰特 - 选​择球​员,403.65666666666664,16,14,8,12,17,14,6,15,8,15,12,17,7,14,16,8,9,12,13,12,8,17,12,12,10,10,14,16,12,10,14,15,12,10,14,12,12,12,8
尼克拉斯·聚勒 - 选​择球​员,414.10749999999996,14,11,14,10,13,3,12,12,14,5,8,13,14,12,12,15,11,13,13,13,11,13,13,11,11,15,14,15,11,16,14,12,17,17,16,8,13,16,8
菲利克斯·恩梅查 - 选​择球​员,436.58333333333337,15,11,11,12,16,12,7,16,12,12,10,16,13,14,16,12,13,12,13,8,13,15,13,12,13,13,14,16,13,15,15,15,16,15,16,11,13,12,10
杨科托 - 选​择球​员,407.3683333333333,14,15,9,8,15,12,12,16,11,10,8,15,6,10,15,10,13,10,13,8,13,14,12,15,12,12,13,12,15,6,14,14,12,9,15,12,12,10,10
马塞尔·萨比策 - 选​择球​员,401.25749999999994,14,12,12,16,13,13,8,12,12,15,11,13,10,16,12,12,17,12,13,15,16,13,16,16,17,15,13,13,12,10,13,16,12,12,13,16,14,16,10
拉米·本瑟巴尼 - 选​择球​员,422.3033333333333,13,12,13,17,15,12,14,12,15,11,10,15,16,9,12,13,14,13,13,13,16,13,13,13,16,16,13,15,13,15,12,14,15,14,14,12,14,14,12
乔布·贝灵汉 - 选​择球​员,407.3241666666667,14,9,12,10,15,10,8,13,12,10,11,15,12,12,12,12,14,12,12,12,15,12,13,13,16,14,14,13,12,14,15,15,12,14,13,13,13,13,13
丹尼尔·斯文松 - 选​择球​员,394.27833333333325,13,13,12,12,13,13,13,12,12,13,8,13,11,10,12,12,16,13,12,8,10,12,16,13,13,13,12,12,13,11,12,18,12,12,13,18,15,12,12
艾曼·阿支尔 - 选​择球​员,371.635,13,10,9,12,14,12,6,12,10,12,8,13,7,11,12,9,14,11,12,13,14,13,13,9,14,12,12,13,12,7,15,15,12,9,11,12,13,12,12
帕特里克·戈布尔 - 选​择球​员,365.065,14,14,9,9,13,13,8,13,9,14,9,12,5,10,12,10,13,10,12,6,4,14,14,13,13,7,11,9,13,6,12,10,10,8,12,12,18,10,14
埃姆雷·詹 - 选​择球​员,427.0116666666666,13,9,13,19,13,8,10,13,16,11,10,13,14,14,12,13,16,12,12,14,17,13,12,12,17,16,13,12,12,15,14,14,16,16,15,12,12,10,10
萨利赫·奥兹坎 - 选​择球​员,404.90333333333336,13,11,13,12,13,12,8,12,14,12,8,13,13,9,12,13,16,14,12,13,16,12,16,11,16,16,15,12,12,12,15,15,14,13,13,14,13,15,12
亚历山大·梅耶尔 - 选​择球​员,332.2183333333333,13,3,1,1,12,5,3,2,2,7,1,12,8,1,7,13,12,13,12,15,12,13,16,8,13,13,12,15,8,17,10,11,12,15,9,15,15,12,14
法比奥·席尔瓦 - 选​择球​员,418.63749999999993,12,9,6,14,15,8,7,14,6,8,14,15,14,12,14,6,13,13,12,8,13,12,12,15,15,12,13,14,13,13,14,13,13,13,14,12,13,13,8
胡利安·瑞尔森 - 选​择球​员,411.8783333333333,12,14,13,10,11,14,13,12,14,13,8,11,12,10,11,13,18,15,12,13,16,11,17,12,16,16,13,12,13,12,13,16,15,13,13,14,14,13,16
卡尔尼·楚科维米卡 - 选​择球​员,401.0474999999999,14,10,9,12,17,10,6,15,11,10,10,16,11,12,17,10,12,10,12,10,8,13,11,12,12,12,12,13,14,13,16,13,12,12,14,6,12,10,8
马克西米兰·贝尔 - 选​择球​员,442.48249999999996,11,10,7,13,13,8,13,13,8,8,14,12,13,12,13,8,16,11,11,11,12,11,13,14,16,13,13,12,16,13,16,15,11,10,17,17,13,14,12
